start_date,lowest_price,weekday
2019-05-09 09:30:00,58.15,thursday
2019-05-09 10:30:00,66.75,thursday
2019-05-09 12:30:00,58.15,thursday
2019-05-09 14:00:00,75.4,thursday
2019-05-09 14:30:00,75.4,thursday
2019-05-09 15:00:00,75.4,thursday
2019-05-09 16:00:00,68.65,thursday
2019-05-09 17:00:00,68.65,thursday
2019-05-09 19:30:00,58.45,thursday
2019-05-09 20:00:00,58.45,thursday
2019-05-09 21:25:00,66.75,thursday
2019-04-21 07:30:00,66.75,sunday
2019-04-21 14:00:00,78.8,sunday
2019-04-21 16:00:00,88.95,sunday
2019-05-08 06:10:00,49.55,wednesday
2019-05-08 06:30:00,49.55,wednesday
2019-05-08 07:20:00,49.55,wednesday
2019-05-08 07:30:00,49.55,wednesday
2019-05-08 08:00:00,58.15,wednesday
2019-05-08 08:20:00,58.15,wednesday
2019-05-08 08:30:00,58.15,wednesday
2019-05-08 09:30:00,58.15,wednesday
2019-05-08 10:30:00,66.75,wednesday
2019-05-08 11:30:00,66.75,wednesday
2019-05-08 14:00:00,68.65,wednesday
2019-05-08 14:30:00,58.15,wednesday
2019-05-08 15:00:00,58.15,wednesday
2019-05-08 16:00:00,58.15,wednesday
2019-05-08 19:30:00,58.15,wednesday
2019-05-08 20:00:00,58.15,wednesday
2019-05-08 20:30:00,58.15,wednesday
2019-05-08 21:25:00,58.15,wednesday
2019-05-07 06:30:00,58.15,tuesday
2019-05-07 07:20:00,58.15,tuesday
2019-05-07 07:30:00,58.15,tuesday
2019-05-07 08:00:00,58.15,tuesday
2019-05-07 08:20:00,58.15,tuesday
2019-05-07 08:30:00,58.15,tuesday
2019-05-07 09:00:00,58.15,tuesday
2019-05-07 10:30:00,58.15,tuesday
2019-05-07 11:30:00,40.95,tuesday
2019-05-07 12:30:00,40.95,tuesday
2019-05-07 14:00:00,58.45,tuesday
2019-05-07 14:30:00,58.45,tuesday
2019-05-07 15:00:00,58.45,tuesday
2019-05-07 15:30:00,66.75,tuesday
2019-05-07 17:00:00,68.65,tuesday
2019-05-07 19:00:00,66.75,tuesday
2019-05-07 19:30:00,49.55,tuesday
2019-05-07 20:00:00,49.55,tuesday
2019-05-07 20:30:00,49.55,tuesday
2019-05-07 21:25:00,49.55,tuesday
2019-05-06 05:50:00,58.15,monday
2019-05-06 06:10:00,58.15,monday
2019-05-06 07:00:00,58.15,monday
2019-05-06 07:30:00,58.15,monday
2019-05-06 08:00:00,58.15,monday
2019-05-06 08:20:00,58.15,monday
2019-05-06 08:30:00,58.15,monday
2019-05-06 09:30:00,66.75,monday
2019-05-06 14:00:00,75.4,monday
2019-05-06 15:00:00,68.65,monday
2019-05-06 16:00:00,68.65,monday
2019-05-06 16:30:00,68.65,monday
2019-05-06 17:00:00,68.65,monday
2019-05-06 18:00:00,68.65,monday
2019-05-06 18:30:00,66.75,monday
2019-05-06 19:30:00,58.15,monday
2019-05-06 20:00:00,58.15,monday
2019-05-06 20:30:00,49.55,monday
2019-05-06 21:25:00,49.55,monday
2019-05-05 06:20:00,66.75,sunday
2019-05-05 07:30:00,66.75,sunday
2019-05-05 08:30:00,66.75,sunday
2019-05-05 09:30:00,75.4,sunday
2019-05-05 10:30:00,75.4,sunday
2019-05-05 14:00:00,88.95,sunday
2019-05-05 16:00:00,68.65,sunday
2019-05-05 17:00:00,68.65,sunday
2019-05-05 20:00:00,78.8,sunday
2019-05-04 07:30:00,58.15,saturday
2019-05-04 08:30:00,58.15,saturday
2019-05-04 09:30:00,75.4,saturday
2019-05-04 10:30:00,75.4,saturday
2019-05-04 11:30:00,75.4,saturday
2019-05-04 12:30:00,85.1,saturday
2019-05-04 16:30:00,66.75,saturday
2019-05-04 18:30:00,66.75,saturday
2019-05-04 19:30:00,66.75,saturday
2019-05-04 20:30:00,75.4,saturday
2019-05-03 05:50:00,49.55,friday
2019-05-03 06:30:00,49.55,friday
2019-05-03 07:00:00,49.55,friday
2019-05-03 07:30:00,49.55,friday
2019-05-03 08:30:00,75.4,friday
2019-05-03 09:30:00,75.4,friday
2019-05-03 10:30:00,75.4,friday
2019-05-03 14:30:00,75.4,friday
2019-05-03 15:00:00,68.65,friday
2019-05-03 16:00:00,68.65,friday
2019-05-03 17:00:00,68.65,friday
2019-05-03 18:00:00,68.65,friday
2019-05-03 19:00:00,68.65,friday
2019-05-03 19:30:00,66.75,friday
2019-05-03 20:30:00,58.15,friday
2019-05-03 21:25:00,58.15,friday
2019-05-02 05:50:00,49.54,thursday
2019-05-02 06:30:00,49.54,thursday
2019-05-02 07:00:00,49.55,thursday
2019-05-02 07:30:00,49.55,thursday
2019-05-02 08:30:00,66.75,thursday
2019-05-02 09:30:00,58.15,thursday
2019-05-02 10:30:00,58.15,thursday
2019-05-02 11:30:00,58.15,thursday
2019-05-02 12:30:00,66.75,thursday
2019-05-02 14:30:00,66.75,thursday
2019-05-02 15:30:00,66.75,thursday
2019-05-02 16:30:00,58.15,thursday
2019-05-02 17:30:00,58.15,thursday
2019-05-02 18:30:00,49.55,thursday
2019-05-02 19:00:00,49.55,thursday
2019-05-02 19:30:00,40.95,thursday
2019-05-02 20:30:00,40.95,thursday
2019-05-02 21:25:00,40.95,thursday
2019-05-01 07:00:00,85.1,wednesday
2019-05-01 14:30:00,66.75,wednesday
2019-05-01 15:30:00,66.75,wednesday
2019-05-01 16:00:00,68.65,wednesday
2019-05-01 16:30:00,68.65,wednesday
2019-05-01 17:00:00,68.65,wednesday
